state,pay_direct_total,pay_direct_elig_aged,pay_direct_elig_blind,pay_direct_elig_disabled,pay_direct_age_under_18,pay_direct_age_18_64,pay_direct_age_65_or_older
All areas,541.63,428.64,560.24,560.51,647.48,564.34,437.37
Alabama,513.2,265.5,495.1,526.59,644.71,533.66,326.87
Alaska,505.01,323.13,521.64,534.58,585.58,549.16,365.33
Arizona,532.05,384.76,551.94,557.09,651.56,562.61,399.4
Arkansas,524.06,239.95,497.77,538.33,653.79,524.73,297.6
California,614.64,519.03,667.39,652.55,707.19,672.74,540.6
Colorado,520.31,410.52,529.45,538.61,621.43,547.86,403.85
Connecticut,531.6,404.87,532.87,547.27,640.38,551.54,423.44
Delaware,535.5,377.93,498.84,548.82,626.35,547.75,387.52
District of Columbia,577.03,392.14,516.15,593.69,653.07,604.19,432.54
Florida,525.21,445.83,521.83,551.69,640.66,548.98,439.63
Georgia,521.13,323.74,523.14,542.67,644.31,548.34,347.71
Hawaii,547.3,421.04,575.65,586.45,626.33,601.16,456.12
Idaho,521.76,330.26,544.6,533.47,614.16,535.65,352.74
Illinois,544.7,417.6,545.23,561.4,654.58,563.05,439.09
Indiana,537.65,336.74,502.33,547.43,643.71,542.33,360.34
Iowa,511.68,316.56,497.55,525.22,628.57,522.05,346.64
Kansas,522.72,349.78,519.33,534.23,633.56,528.48,364.32
Kentucky,523.03,285.06,523.73,536.35,651.13,543.56,347.87
Louisiana,528.47,281.77,498.43,545.95,654.84,546.65,340.75
Maine,505.43,285.93,496.18,516.35,628.24,523.49,331.55
Maryland,550.96,428.37,547.62,568.92,628.14,576.8,428.01
Massachusetts,527.82,441.41,498.27,541.18,625.91,545.53,448.95
Michigan,551.06,424.35,554.81,560.72,649.15,563.81,429.33
Minnesota,542.66,481.58,558.71,550.81,627.18,544.77,490.83
Mississippi,507.43,231.39,493.84,527.52,648.56,531.36,308.74
Missouri,517.51,334.07,501.71,527.54,639.46,526.95,354.97
Montana,500.34,297.29,506.95,517.01,634.39,520.87,332.13
Nebraska,506.03,359.52,501.01,519.52,616.18,520.71,363.41
Nevada,542.94,419.97,603.92,583.99,649.06,571.09,417.84
New Hampshire,508.37,382.59,477.81,514.91,600.85,515.77,369.36
New Jersey,525.58,418.47,502.62,553.28,647.99,558.11,424.77
New Mexico,504.8,308.54,514.51,534.79,648.01,545.92,351.61
New York,532.88,415.78,530.69,559.77,650.17,563.38,447.36
North Carolina,512.86,290.6,512.02,531.39,637.96,536.02,327.65
North Dakota,485.79,398.76,462.96,493.93,581.17,498.6,377.5
Ohio,547.87,390.64,533.26,556.76,649.04,558.03,412.33
Oklahoma,524.7,284.24,522.13,541.02,638.99,543.11,327.48
Oregon,531.04,388.52,512.04,548.73,623.57,559.26,396.28
Pennsylvania,555.45,399.39,533.27,566.95,649.07,565.76,436.97
Rhode Island,528.1,377.4,503.54,545.46,639.53,551.25,406.29
South Carolina,513.12,272.38,513.43,530.95,635.37,537.76,329.52
South Dakota,497.83,370.61,529.59,511.69,607.16,513.08,369.32
Tennessee,519.21,292.99,525.59,534.39,641.19,543.61,343.13
Texas,506.93,337.19,518.45,539.61,636.77,540.87,347.19
Utah,524.02,412.8,513.94,535.32,594.24,537.42,410.78
Vermont,524.26,363.54,456.25,535.11,669.85,541.74,371.96
Virginia,521.84,394.31,516.04,538.47,627.11,543.79,391.56
Washington,548.02,466.59,545.14,558.91,619.7,567.81,464.22
West Virginia,530.66,274.32,503.09,539.4,639.52,553.75,361.75
Wisconsin,534.07,339.41,525.51,546.11,640.86,538.94,386.92
Wyoming,501.3,248.77,472.21,514.19,620.65,518.02,306.11
